Element,Formula,Material_ID,Energy_per_atom_eV,Formation_energy_per_atom_eV,Energy_above_hull_eV
Ac,Ac,mp-862690,-68.6374794125,0.0,0.0
Ag,Ag,mp-8566,-21.355877145,0.0,0.0
Al,Al,mp-134,-6.73209833,0.0,0.0
Ar,Ar,mp-23155,-4.85851485,0.0,0.0
As,As,mp-158,-14.7075309875,0.0,0.0
Au,Au,mp-81,-50.58496015,0.0,0.0
B,B,mp-160,-7.346354197499999,0.0,0.0
Ba,Ba,mp-122,-1.91897494,0.0,0.0
Be,Be,mp-87,-3.7394128650000003,0.0,0.0
Bi,Bi,mp-23152,-58.502273745,0.0,0.0
Br,Br,mp-1525121,-13.2588797625,0.0,0.0
C,C,mp-3347313,-9.94723519,0.0,0.0
Ca,Ca,mp-45,-7.0382937,0.0,0.0
Cd,Cd,mp-94,-20.10498769,0.0,0.0
Ce,Ce,mp-28,-30.84062876,0.0,0.0
Cl,Cl2,mp-22848,-6.1524388975,0.0,0.0
Co,Co,mp-102,-13.23423113,0.0,0.0
Cr,Cr,mp-90,-15.07334239,0.0,0.0
Cs,Cs,mp-1949606,-25.108453,0.0,0.0
Cu,Cu,mp-30,-10.846796,0.0,0.0
Dy,Dy,mp-88,-31.981803225,0.0,0.0
Er,Er,mp-1184115,-33.925435166666674,0.0,0.0
Eu,Eu,mp-21462,-38.520882715,0.0,0.0
F,F2,mp-1525632,-3.12602795,0.0,0.0
Fe,Fe,mp-13,-8.47002121,0.0,0.0
Ga,Ga,mp-142,-11.44277595,0.0,0.0
Gd,Gd,mp-155,-43.397005300000004,0.0,0.0
Ge,Ge,mp-32,-13.87197758,0.0,0.0
H,H2,mp-730101,-3.45511240125,0.0,0.0
He,He,mp-23158,-0.31390057,0.0,0.0
Hf,Hf,mp-103,-45.15141539,0.0,0.0
Hg,Hg,mp-2629196,-49.36695398416666,0.0008525383333330001,0.0008525383333330001
Ho,Ho,mp-144,-32.881343915,0.0,0.0
I,I,mp-1525634,-24.5586837725,0.0,0.0
In,In,mp-85,-22.57859038,0.0,0.0
Ir,Ir,mp-101,-52.35935345,0.0,0.0
K,K,mp-1184804,-6.01826393625,0.0,0.0
Kr,Kr,mp-975590,-12.584469843333332,0.0,0.0
La,La,mp-26,-29.744780205,0.0,0.0
Li,Li,mp-1018134,-2.386706413333333,0.0,0.0
Lu,Lu,mp-973571,-38.07988018333334,4.736951571734001e-15,0.0
Mg,Mg,mp-153,-4.169303585,0.0,0.0
Mn,Mn,mp-35,-14.683334675517242,0.0,0.0
Mo,Mo,mp-129,-26.07197944,0.0,0.0
N,N2,mp-154,-9.12875067125,0.0,0.0
Na,Na,mp-10172,-3.56418057,0.0,0.0
Nb,Nb,mp-75,-24.73407465,0.0,0.0
Nd,Nd,mp-123,-29.4180089825,0.0,0.0
Ne,Ne,mp-111,-1.91282416,0.0,0.0
Ni,Ni,mp-23,-11.98171716,0.0,0.0
Np,Np,mp-11534,-83.02421153125,0.0,0.0
O,O2,mp-12957,-4.947961005,0.0,0.0
Os,Os,mp-49,-52.98522885,0.0,0.0
P,P,mp-568348,-9.00207631202381,0.0,0.0
Pa,Pa,mp-62,-76.85601818,0.0,0.0
Pb,Pb,mp-20483,-56.28513411,0.0,0.0
Pd,Pd,mp-2,-22.960453610000002,0.0,0.0
Pm,Pm,mp-867200,-29.5406124625,0.0,0.0
Pr,Pr,mp-97,-29.395911823333336,0.008044545,0.008044545
Pt,Pt,mp-126,-51.4877169,0.0,0.0
Pu,Pu,mp-582819,-86.35634815125,0.0,0.0
Rb,Rb,mp-1179656,-0.9805340725,0.0,0.0
Re,Re,mp-1186901,-52.4106147075,0.0,0.0
Rh,Rh,mp-74,-24.13622863,0.0,0.0
Ru,Ru,mp-33,-25.424535295,0.0,0.0
S,S,mp-77,-8.0340372271875,0.0,0.0
Sb,Sb,mp-104,-25.70631573,0.0,0.0
Sc,Sc,mp-67,-11.398487355,0.0,0.0
Se,Se,mp-570481,-14.3115602309375,0.0,0.0
Si,Si,mp-149,-8.773764595,0.0,0.0
Sm,Sm,mp-69,-29.73292432,0.0,0.0
Sn,Sn,mp-117,-24.74618378,0.0,0.0
Sr,Sr,mp-139,-15.14566107,0.0,0.0
Ta,Ta,mp-569794,-48.591832712666665,0.0,0.0
Tb,Tb,mp-18,-31.22643415,0.0,0.0
Tc,Tc,mp-113,-25.96466205,0.0,0.0
Te,Te,mp-19,-25.417224309999998,0.0,0.0
Th,Th,mp-37,-73.47526215,0.0,0.0
Ti,Ti,mp-72,-12.937757013333334,0.0,0.0
Tl,Tl,mp-82,-53.17930458,0.0,0.0
Tm,Tm,mp-143,-35.12104829,0.0,0.0
U,U,mp-44,-79.942036625,0.0,0.0
V,V,mp-146,-14.08957573,0.0,0.0
W,W,mp-91,-51.36779438,0.0,0.0
Xe,Xe,mp-972256,-0.03617417,0.0,0.0
Y,Y,mp-112,-20.31360096,0.0,0.0
Yb,Yb,mp-1187875,-36.529378785,0.0,0.0
Zn,Zn,mp-79,-8.910602605,0.0,0.0
Zr,Zr,mp-131,-22.749791905,0.0,0.0
